hour,day_of_week,month,feels_like,humidity
19,3,5,40.16,40
20,3,5,37.22,38
21,3,5,34.03,35
22,3,5,30.69,37
23,3,5,30.33,38
0,4,5,29.88,40
1,4,5,29.03,42
2,4,5,28.19,42
3,4,5,28.01,42
4,4,5,27.58,42
5,4,5,27.02,45
6,4,5,26.53,46
7,4,5,29.0,40
8,4,5,31.49,36
9,4,5,34.76,33
10,4,5,37.57,28
11,4,5,40.36,24
12,4,5,41.83,20
13,4,5,42.8,17
14,4,5,43.06,14
15,4,5,43.62,14
16,4,5,42.22,18
17,4,5,40.41,20
18,4,5,38.35,21
19,4,5,34.32,27
20,4,5,32.59,27
21,4,5,31.8,32
22,4,5,30.35,37
23,4,5,30.09,47
0,5,5,30.33,51
1,5,5,29.55,43
2,5,5,28.58,36
3,5,5,27.87,38
4,5,5,26.93,43
5,5,5,25.66,48
6,5,5,25.16,51
7,5,5,27.67,47
8,5,5,29.96,41
9,5,5,33.08,37
10,5,5,36.0,33
11,5,5,38.68,27
12,5,5,40.31,22
13,5,5,41.27,18
14,5,5,41.93,15
15,5,5,42.45,14
16,5,5,41.89,14
