Month,Day,Hour,Minute,Wind Speed,Relative Humidity,Temperature,Pressure
5,3,0,0,2.62,13,17.89,1008
5,3,1,0,2.41,14,17.0,1009
5,3,2,0,2.94,14,16.31,1009
5,3,3,0,2.35,15,15.67,1009
5,3,4,0,2.3,16,15.09,1009
5,3,5,0,1.61,16,14.29,1009
5,3,6,0,1.91,17,13.71,1010
5,3,7,0,1.22,19,14.24,1011
5,3,8,0,1.52,15,16.44,1011
5,3,9,0,1.53,12,18.21,1010
5,3,10,0,2.35,13,19.74,1010
5,3,11,0,2.61,15,21.1,1009
5,3,12,0,2.8,15,22.4,1008
5,3,13,0,2.59,15,23.56,1007
5,3,14,0,3.94,14,24.73,1006
5,3,15,0,3.45,13,25.69,1005
5,3,16,0,4.37,11,26.57,1003
5,3,17,0,4.23,10,26.64,1003
5,3,18,0,7.16,10,25.94,1003
5,3,19,0,8.02,12,24.94,1003
5,3,20,0,5.99,13,23.37,1004
5,3,21,0,4.62,15,21.87,1005
5,3,22,0,4.56,16,20.9,1006
5,3,23,0,3.19,16,20.05,1006
5,4,0,0,2.29,17,19.25,1007
5,4,1,0,2.44,18,18.72,1007
5,4,2,0,0.83,19,18.24,1007
5,4,3,0,2.23,20,17.42,1008
5,4,4,0,1.24,23,16.08,1009
5,4,5,0,1.18,24,15.93,1009
5,4,6,0,5.3,22,16.01,1010
5,4,7,0,8.42,40,13.46,1012
5,4,8,0,7.38,40,14.65,1012
5,4,9,0,6.57,38,15.73,1013
5,4,10,0,5.84,34,17.57,1012
5,4,11,0,4.68,30,19.35,1011
5,4,12,0,3.86,26,21.12,1010
5,4,13,0,4.41,22,22.85,1009
5,4,14,0,6.11,19,24.09,1008
5,4,15,0,1.7,17,24.33,1006
