month,day,hour,Wind Speed (m/s)
2,4,0,20.16
2,4,1,20.86
2,4,2,19.97
2,4,3,21.85
2,4,4,23.75
2,4,5,21.51
2,4,6,18.93
2,4,7,20.1
2,4,8,18.24
2,4,9,17.54
2,4,10,19.49
2,4,11,18.36
2,4,12,19.17
2,4,13,17.04
2,4,14,15.89
2,4,15,17.96
2,4,16,17.47
2,4,17,15.89
2,4,18,15.57
2,4,19,16.6
2,4,20,17.24
2,4,21,17.94
2,4,22,16.9
2,4,23,16.91
2,5,0,16.6
2,5,1,17.06
2,5,2,18.64
2,5,3,19.03
2,5,4,19.59
2,5,5,19.9
2,5,6,18.91
2,5,7,18.24
2,5,8,19.73
2,5,9,19.28
2,5,10,16.57
2,5,11,16.81
2,5,12,18.81
2,5,13,16.67
2,5,14,18.68
2,5,15,18.94
2,5,16,19.08
2,5,17,19.86
2,5,18,19.7
2,5,19,20.58
2,5,20,21.67
2,5,21,21.87
2,5,22,23.19
2,5,23,23.71
